geoid,Zip,Total,Owned,Rent
86000US91786,91786,19085,8107,10978
86000US91789,91789,13264,11015,2249
86000US91790,91790,12217,8426,3791
86000US91791,91791,10170,6795,3375
86000US91792,91792,8655,4776,3879
86000US91801,91801,19721,7044,12677
86000US91803,91803,9671,4427,5244
86000US91901,91901,6411,4611,1800
86000US91902,91902,6249,4671,1578
86000US91905,91905,565,346,219
86000US91906,91906,1218,832,386
86000US91910,91910,24999,11893,13106
86000US91911,91911,24928,12713,12215
86000US91913,91913,14756,10387,4369
86000US91914,91914,4350,3511,839
86000US91915,91915,8255,6050,2205
86000US91916,91916,664,624,40
86000US91917,91917,205,189,16
86000US91931,91931,145,125,20
86000US91932,91932,9175,2811,6364
86000US91934,91934,150,150,0
86000US91935,91935,2869,2479,390
86000US91941,91941,11656,7255,4401
86000US91942,91942,16318,6318,10000
86000US91945,91945,8548,4543,4005
86000US91948,91948,15,15,0
86000US91950,91950,16787,6021,10766
86000US91962,91962,801,601,200
86000US91963,91963,266,220,46
86000US91977,91977,18984,11082,7902
86000US91978,91978,3331,2164,1167
86000US91980,91980,84,64,20
86000US92003,92003,1773,1222,551
86000US92004,92004,1193,981,212
86000US92007,92007,4469,2590,1879
86000US92008,92008,11410,5249,6161
86000US92009,92009,16469,12075,4394
86000US92010,92010,5963,4257,1706
86000US92011,92011,9451,6302,3149
86000US92014,92014,5924,3840,2084
86000US92019,92019,14566,9671,4895
86000US92020,92020,19156,7643,11513
86000US92021,92021,22463,11329,11134
86000US92024,92024,19544,12589,6955
86000US92025,92025,15760,6634,9126
86000US92026,92026,16853,9948,6905
86000US92027,92027,16363,9775,6588
86000US92028,92028,16575,11071,5504
86000US92029,92029,6996,5227,1769
86000US92036,92036,1105,826,279
86000US92037,92037,17064,9939,7125
86000US92040,92040,15274,9854,5420
86000US92054,92054,15358,6062,9296
86000US92055,92055,195,0,195
86000US92056,92056,19412,12089,7323
86000US92057,92057,19342,12667,6675
86000US92058,92058,14202,3905,10297
86000US92059,92059,481,381,100
86000US92060,92060,63,51,12
86000US92061,92061,699,457,242
86000US92064,92064,15796,11666,4130
86000US92065,92065,11969,9089,2880
86000US92066,92066,194,122,72
86000US92067,92067,2873,2427,446
86000US92069,92069,14927,8451,6476
86000US92070,92070,315,250,65
86000US92071,92071,19611,13863,5748
86000US92075,92075,5330,3077,2253
86000US92078,92078,16986,11440,5546
86000US92081,92081,10424,5585,4839
86000US92082,92082,6021,4853,1168
86000US92083,92083,11290,5130,6160
86000US92084,92084,14879,8501,6378
86000US92086,92086,702,593,109
86000US92091,92091,652,575,77
86000US92101,92101,23297,5631,17666
86000US92102,92102,14592,4103,10489
86000US92103,92103,18118,6241,11877
86000US92104,92104,21017,6071,14946
86000US92105,92105,21777,6535,15242
86000US92106,92106,7461,4298,3163
86000US92107,92107,13758,5490,8268
86000US92108,92108,11097,3002,8095
86000US92109,92109,22554,6428,16126
86000US92110,92110,11476,4694,6782
86000US92111,92111,16892,8457,8435
86000US92113,92113,13088,3616,9472
86000US92114,92114,17994,11812,6182
86000US92115,92115,21425,7019,14406
86000US92116,92116,16553,5583,10970
86000US92117,92117,20865,12304,8561
86000US92118,92118,8396,4279,4117
86000US92119,92119,9335,6629,2706
86000US92120,92120,11387,7842,3545
86000US92121,92121,1798,990,808
86000US92122,92122,19946,6339,13607
86000US92123,92123,11788,5822,5966
86000US92124,92124,10947,5175,5772
86000US92126,92126,25221,13990,11231
86000US92127,92127,15584,10334,5250
86000US92128,92128,20638,13232,7406
86000US92129,92129,17879,11919,5960
86000US92130,92130,19525,12993,6532
86000US92131,92131,11654,9064,2590
86000US92132,92132,0,0,0
86000US92134,92134,0,0,0
86000US92135,92135,0,0,0
86000US92139,92139,10410,6199,4211
86000US92140,92140,0,0,0
86000US92145,92145,692,488,204
86000US92147,92147,0,0,0
86000US92154,92154,21999,12987,9012
86000US92155,92155,0,0,0
86000US92173,92173,7998,2395,5603
86000US92201,92201,22942,14625,8317
86000US92203,92203,11751,8726,3025
86000US92210,92210,2613,2208,405
86000US92211,92211,12788,9543,3245
86000US92220,92220,11667,7547,4120
86000US92222,92222,0,0,0
86000US92223,92223,16599,12820,3779
86000US92225,92225,5891,3161,2730
86000US92227,92227,7043,3978,3065
86000US92230,92230,984,556,428
86000US92231,92231,8825,4837,3988
86000US92233,92233,1043,580,463
86000US92234,92234,17951,10987,6964
86000US92236,92236,14772,10139,4633
86000US92239,92239,98,89,9
86000US92240,92240,11952,5775,6177
86000US92241,92241,3584,2828,756
86000US92242,92242,628,504,124
86000US92243,92243,12945,6793,6152
86000US92249,92249,1836,1158,678
86000US92250,92250,2402,1498,904
86000US92251,92251,5135,3808,1327
86000US92252,92252,3901,2229,1672
86000US92253,92253,15243,11125,4118
86000US92254,92254,2947,1808,1139
86000US92256,92256,1552,1208,344
86000US92257,92257,551,408,143
86000US92258,92258,283,200,83
86000US92259,92259,56,50,6
86000US92260,92260,15607,9206,6401
86000US92262,92262,13233,7688,5545
86000US92264,92264,10917,6904,4013
86000US92266,92266,96,68,28
86000US92267,92267,5,0,5
86000US92268,92268,318,268,50
86000US92270,92270,9406,7587,1819
86000US92273,92273,461,221,240
86000US92274,92274,4980,3551,1429
86000US92275,92275,822,631,191
86000US92276,92276,2707,1878,829
86000US92277,92277,9136,3251,5885
86000US92278,92278,298,0,298
86000US92280,92280,19,0,19
86000US92281,92281,693,317,376
86000US92282,92282,420,289,131
86000US92283,92283,548,289,259
86000US92284,92284,10930,7259,3671
86000US92285,92285,1022,813,209
86000US92301,92301,8077,4182,3895
86000US92304,92304,12,0,12
86000US92305,92305,253,160,93
86000US92307,92307,12868,8546,4322
86000US92308,92308,14291,9344,4947
86000US92309,92309,188,53,135
86000US92310,92310,2500,2,2498
86000US92311,92311,11416,5442,5974
86000US92313,92313,4407,2780,1627
86000US92314,92314,4495,2891,1604
86000US92315,92315,2216,1264,952
86000US92316,92316,7575,5342,2233
86000US92320,92320,3298,2782,516
86000US92321,92321,425,303,122
86000US92322,92322,302,287,15
86000US92324,92324,18075,9470,8605
86000US92325,92325,3388,2208,1180
86000US92327,92327,282,133,149
86000US92328,92328,195,54,141
86000US92332,92332,42,3,39
86000US92333,92333,172,156,16
86000US92335,92335,24837,12480,12357
86000US92336,92336,24524,18603,5921
86000US92337,92337,9766,6912,2854
86000US92338,92338,0,0,0
86000US92339,92339,450,331,119
86000US92341,92341,118,99,19
86000US92342,92342,2502,1945,557
86000US92344,92344,6082,4627,1455
86000US92345,92345,23480,14614,8866
86000US92346,92346,17265,11412,5853
86000US92347,92347,253,223,30
86000US92352,92352,2276,1766,510
86000US92354,92354,7762,3238,4524
86000US92356,92356,2229,1594,635
86000US92358,92358,420,304,116
86000US92359,92359,3092,1990,1102
86000US92363,92363,2234,1164,1070
86000US92364,92364,0,0,0
86000US92365,92365,1038,769,269
86000US92368,92368,293,127,166
86000US92371,92371,5187,3812,1375
86000US92372,92372,2178,1579,599
86000US92373,92373,12841,6769,6072
86000US92374,92374,13696,8187,5509
86000US92376,92376,21468,12586,8882
86000US92377,92377,5340,4678,662
86000US92378,92378,86,86,0
86000US92382,92382,1835,1205,630
86000US92384,92384,10,0,10
86000US92385,92385,89,77,12
86000US92386,92386,998,619,379
86000US92389,92389,87,63,24
86000US92391,92391,927,508,419
86000US92392,92392,15994,9178,6816
86000US92394,92394,8025,5142,2883
86000US92395,92395,13429,6854,6575
86000US92397,92397,1726,1197,529
86000US92398,92398,647,276,371
86000US92399,92399,18769,13485,5284
86000US92401,92401,672,80,592
86000US92404,92404,17722,7647,10075
86000US92405,92405,8862,4047,4815
86000US92407,92407,17028,10169,6859
86000US92408,92408,3713,1346,2367
86000US92410,92410,12482,5107,7375
86000US92411,92411,6430,3320,3110
86000US92501,92501,6706,2872,3834
86000US92503,92503,25016,15759,9257
86000US92504,92504,16538,9771,6767
86000US92505,92505,13517,6928,6589
86000US92506,92506,14871,11159,3712
86000US92507,92507,16763,5388,11375
86000US92508,92508,10244,8052,2192
86000US92509,92509,18963,13091,5872
86000US92518,92518,500,46,454
86000US92530,92530,14959,8582,6377
86000US92532,92532,6908,5304,1604
86000US92536,92536,1059,741,318
86000US92539,92539,1627,1083,544
86000US92543,92543,12833,6379,6454
86000US92544,92544,15314,10266,5048
86000US92545,92545,14948,9885,5063
86000US92548,92548,2356,1452,904
86000US92549,92549,1145,746,399
86000US92551,92551,7868,5145,2723
86000US92553,92553,18331,8876,9455
86000US92555,92555,10774,7969,2805
86000US92557,92557,13743,8979,4764
86000US92561,92561,595,514,81
86000US92562,92562,19745,13447,6298
86000US92563,92563,17952,12404,5548
86000US92567,92567,2577,1833,744
86000US92570,92570,13944,8816,5128
86000US92571,92571,12406,8239,4167
86000US92582,92582,3942,2934,1008
86000US92583,92583,9296,5653,3643
86000US92584,92584,14463,11819,2644
86000US92585,92585,6043,4839,1204
86000US92586,92586,9137,6040,3097
86000US92587,92587,5593,4443,1150
86000US92590,92590,1552,636,916
86000US92591,92591,12968,7725,5243
86000US92592,92592,24505,17984,6521
86000US92595,92595,9504,6724,2780
86000US92596,92596,7927,5954,1973
86000US92602,92602,8735,4314,4421
86000US92603,92603,7292,4857,2435
86000US92604,92604,9698,6038,3660
86000US92606,92606,8660,3819,4841
86000US92610,92610,4857,3644,1213
86000US92612,92612,12736,3955,8781
86000US92614,92614,9804,4365,5439
86000US92617,92617,3991,953,3038
86000US92618,92618,17258,5901,11357
86000US92620,92620,17819,11096,6723
86000US92624,92624,2810,1858,952
86000US92625,92625,5804,3936,1868
86000US92626,92626,19058,7888,11170
86000US92627,92627,22180,8235,13945
86000US92629,92629,11439,7065,4374
86000US92630,92630,21234,14303,6931
86000US92637,92637,11156,8305,2851
86000US92646,92646,21352,16121,5231
86000US92647,92647,21363,9750,11613
86000US92648,92648,19471,9678,9793
86000US92649,92649,14247,8730,5517
86000US92651,92651,11126,7120,4006
86000US92653,92653,9970,7177,2793
86000US92655,92655,2499,896,1603
86000US92656,92656,19252,11684,7568
86000US92657,92657,3884,3263,621
86000US92660,92660,15268,8128,7140
86000US92661,92661,1519,671,848
86000US92662,92662,1350,818,532
86000US92663,92663,10029,4563,5466
86000US92672,92672,14230,7712,6518
86000US92673,92673,10294,8553,1741
86000US92675,92675,12895,9576,3319
86000US92676,92676,847,669,178
86000US92677,92677,25667,17760,7907
86000US92678,92678,218,147,71
86000US92679,92679,10711,9261,1450
86000US92683,92683,27536,14479,13057
86000US92688,92688,16081,10940,5141
86000US92691,92691,16759,12586,4173
86000US92692,92692,17552,13482,4070
86000US92694,92694,8620,6578,2042
86000US92701,92701,13053,3573,9480
86000US92703,92703,13589,6580,7009
86000US92704,92704,20269,10647,9622
86000US92705,92705,14711,10027,4684
86000US92706,92706,9189,5042,4147
86000US92707,92707,13931,7175,6756
86000US92708,92708,18892,12819,6073
86000US92780,92780,19343,8899,10444
86000US92782,92782,8059,4963,3096
86000US92801,92801,17826,6024,11802
86000US92802,92802,11503,4195,7308
86000US92804,92804,24572,10006,14566
86000US92805,92805,19113,7781,11332
86000US92806,92806,12380,4622,7758
86000US92807,92807,12337,9842,2495
86000US92808,92808,7417,5567,1850
86000US92821,92821,13516,7994,5522
86000US92823,92823,1448,1295,153
86000US92831,92831,12407,4855,7552
86000US92832,92832,8209,3040,5169
86000US92833,92833,16375,9482,6893
86000US92835,92835,8502,6142,2360
86000US92840,92840,15131,8286,6845
86000US92841,92841,9559,4901,4658
86000US92843,92843,11761,5438,6323
86000US92844,92844,6715,2742,3973
86000US92845,92845,5655,4560,1095
86000US92860,92860,7149,5870,1279
86000US92861,92861,1979,1870,109
86000US92865,92865,6340,3796,2544
86000US92866,92866,5468,1987,3481
86000US92867,92867,12906,8546,4360
86000US92868,92868,8016,2641,5375
86000US92869,92869,11597,8535,3062
86000US92870,92870,17128,11098,6030
86000US92879,92879,14384,8061,6323
86000US92880,92880,17575,12763,4812
86000US92881,92881,9851,7727,2124
86000US92882,92882,21510,14109,7401
86000US92883,92883,10403,8541,1862
86000US92886,92886,16559,13469,3090
86000US92887,92887,6792,5795,997
86000US93001,93001,12806,5187,7619
86000US93003,93003,19191,11136,8055
86000US93004,93004,10856,7000,3856
86000US93010,93010,15798,9755,6043
86000US93012,93012,13138,9836,3302
86000US93013,93013,6232,3457,2775
86000US93015,93015,5064,3062,2002
86000US93021,93021,11783,8895,2888
86000US93022,93022,2508,1926,582
86000US93023,93023,7989,5134,2855
86000US93030,93030,14954,7281,7673
86000US93033,93033,17109,9586,7523
86000US93035,93035,9982,5830,4152
86000US93036,93036,12879,6660,6219
86000US93040,93040,572,362,210
86000US93041,93041,7194,3199,3995
86000US93042,93042,0,0,0
86000US93043,93043,16,2,14
86000US93060,93060,10001,5355,4646
86000US93063,93063,19096,13549,5547
86000US93064,93064,0,0,0
86000US93065,93065,23865,17537,6328
86000US93066,93066,1070,717,353
86000US93067,93067,295,160,135
86000US93101,93101,12842,3043,9799
86000US93103,93103,7608,3642,3966
86000US93105,93105,11356,6247,5109
86000US93108,93108,4116,3088,1028
86000US93109,93109,4615,2832,1783
86000US93110,93110,6358,4109,2249
86000US93111,93111,6166,4054,2112
86000US93117,93117,15977,6024,9953
86000US93201,93201,378,161,217
86000US93202,93202,1112,627,485
86000US93203,93203,5345,2419,2926
86000US93204,93204,2299,1080,1219
86000US93205,93205,727,507,220
86000US93206,93206,562,258,304
86000US93207,93207,114,107,7
86000US93208,93208,47,0,47
86000US93210,93210,4566,2406,2160
86000US93212,93212,4220,1985,2235
86000US93215,93215,11937,7036,4901
86000US93218,93218,253,177,76
86000US93219,93219,2520,1082,1438
86000US93220,93220,58,0,58
86000US93221,93221,4800,3328,1472
86000US93222,93222,683,589,94
86000US93223,93223,2760,1754,1006
86000US93224,93224,159,103,56
86000US93225,93225,1812,1090,722
86000US93226,93226,107,89,18
86000US93230,93230,21799,12449,9350
86000US93234,93234,1852,512,1340
86000US93235,93235,1245,698,547
86000US93238,93238,538,332,206
86000US93239,93239,349,158,191
86000US93240,93240,2707,1631,1076
86000US93241,93241,4150,1601,2549
86000US93242,93242,1056,506,550
86000US93243,93243,776,486,290
86000US93244,93244,160,134,26
86000US93245,93245,12194,5505,6689
86000US93247,93247,5246,2867,2379
86000US93249,93249,541,178,363
86000US93250,93250,3733,2070,1663
86000US93251,93251,78,49,29
86000US93252,93252,542,311,231
86000US93254,93254,280,157,123
86000US93255,93255,326,277,49
86000US93256,93256,1560,575,985
86000US93257,93257,21804,11601,10203
86000US93258,93258,558,259,299
86000US93260,93260,87,57,30
86000US93261,93261,743,296,447
86000US93262,93262,0,0,0
86000US93263,93263,5516,2834,2682
86000US93265,93265,1717,1399,318
86000US93266,93266,339,105,234
86000US93267,93267,1774,974,800
86000US93268,93268,5710,3003,2707
86000US93270,93270,1569,974,595
86000US93271,93271,1075,882,193
86000US93272,93272,1094,404,690
86000US93274,93274,21580,11902,9678
86000US93276,93276,61,28,33
86000US93277,93277,18022,10094,7928
86000US93280,93280,6251,3557,2694
86000US93283,93283,1028,784,244
86000US93285,93285,1208,1021,187
86000US93286,93286,2859,1709,1150
86000US93287,93287,45,45,0
86000US93291,93291,16769,10589,6180
86000US93292,93292,13275,8113,5162
86000US93301,93301,4651,1367,3284
86000US93304,93304,15060,6672,8388
86000US93305,93305,10844,3831,7013
86000US93306,93306,22240,14212,8028
86000US93307,93307,22006,11357,10649
86000US93308,93308,19454,8888,10566
86000US93309,93309,21718,9807,11911
86000US93311,93311,14551,10339,4212
86000US93312,93312,19560,15267,4293
86000US93313,93313,13981,10140,3841
86000US93314,93314,8934,7557,1377
86000US93401,93401,12088,5590,6498
86000US93402,93402,6503,4503,2000
86000US93405,93405,8574,2945,5629
86000US93410,93410,0,0,0
86000US93420,93420,11634,7989,3645
86000US93422,93422,12791,8282,4509
86000US93424,93424,512,277,235
86000US93426,93426,497,396,101
86000US93427,93427,2123,1430,693
86000US93428,93428,2881,2101,780
86000US93429,93429,36,36,0
86000US93430,93430,1478,905,573
86000US93432,93432,451,402,49
86000US93433,93433,5216,2366,2850
86000US93434,93434,2014,1028,986
86000US93436,93436,17978,9196,8782
86000US93437,93437,917,0,917
86000US93440,93440,485,258,227
86000US93441,93441,403,292,111
86000US93442,93442,4968,2939,2029
86000US93444,93444,7148,5333,1815
86000US93445,93445,2468,1458,1010
86000US93446,93446,17438,11546,5892
86000US93449,93449,4245,2627,1618
86000US93450,93450,229,49,180
86000US93451,93451,1331,848,483
86000US93452,93452,277,66,211
86000US93453,93453,1309,925,384
86000US93454,93454,11695,6066,5629
86000US93455,93455,15245,11283,3962
86000US93458,93458,13230,5845,7385
86000US93460,93460,1939,1493,446
86000US93461,93461,539,266,273
86000US93463,93463,3247,2044,1203
86000US93465,93465,3285,2469,816
86000US93501,93501,1845,744,1101
86000US93505,93505,4008,2040,1968
86000US93510,93510,2703,2478,225
86000US93512,93512,134,112,22
86000US93513,93513,750,532,218
